ts, average131195ts, fastestz3, slowestz0
1960, 0.041327, 0.043367, 0.026531
1968, 0.041159, 0.043191, 0.026423
1976, 0.040992, 0.043522, 0.026316
1984, 0.040827, 0.043347, 0.026210
1992, 0.040663, 0.043173, 0.026104
2000, 0.041000, 0.043000, 0.026000
2008, 0.040837, 0.042829, 0.025896
2016, 0.040675, 0.043651, 0.025794
2024, 0.040514, 0.043478, 0.025692
2032, 0.040354, 0.043799, 0.025591
2040, 0.040686, 0.043627, 0.025490
2048, 0.040527, 0.043457, 0.025391
2056, 0.040370, 0.043288, 0.025292
2064, 0.040698, 0.043605, 0.025194
2072, 0.040541, 0.043436, 0.025097
2080, 0.040385, 0.043269, 0.025000
2088, 0.040230, 0.043582, 0.024904
2096, 0.040553, 0.043416, 0.024809
2104, 0.040399, 0.043251, 0.024715
2112, 0.040246, 0.043087, 0.024621
2120, 0.040094, 0.042925, 0.024528
2128, 0.039944, 0.042763, 0.024436
2136, 0.039794, 0.042603, 0.024345
2144, 0.040112, 0.042910, 0.024254
2152, 0.039963, 0.042751, 0.024164
2160, 0.039815, 0.042593, 0.024537
2168, 0.039668, 0.042435, 0.024446
2176, 0.039982, 0.042739, 0.024357
2184, 0.039835, 0.042582, 0.024267
2192, 0.039690, 0.042427, 0.024179
2200, 0.039545, 0.042273, 0.024091
2208, 0.039402, 0.042120, 0.024004
2216, 0.039260, 0.042419, 0.023917
2224, 0.039568, 0.042266, 0.023831
2232, 0.039427, 0.042115, 0.023746
2240, 0.039286, 0.042411, 0.023661
2248, 0.039146, 0.042260, 0.023577
2256, 0.039007, 0.042110, 0.023493
2264, 0.038869, 0.041961, 0.023410
2272, 0.038732, 0.042254, 0.023327
2280, 0.038596, 0.042105, 0.023246
2288, 0.038462, 0.041958, 0.023164
2296, 0.038763, 0.043118, 0.023084
2304, 0.038628, 0.042969, 0.023003
2312, 0.038495, 0.042820, 0.022924
2320, 0.038362, 0.042672, 0.022845
